tag,strategy,wireless_model,simulated_mode,alpha,algorithm,seed,fedprox_mu,csv_path,final_accuracy,final_loss,total_energy,total_upload_time,mean_jain,min_jain,rounds
hybrid_wsn_invTrue,hybrid_opt,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_wsn_invTrue/hybrid_wsn_invTrue_attempt1_fedprox_20260303_034933.csv,0.8053,0.5880411852009689,9861.415667871248,2915.1116678712483,0.7598381788073214,0.49999999999999,60
bandwidth_first_wsn_invTrue,bandwidth_first,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bandwidth_first_wsn_invTrue/bandwidth_first_wsn_invTrue_attempt1_fedprox_20260303_040428.csv,0.8237,0.5385286051638519,10398.940739454525,4418.076739454525,0.778835764908916,0.49999999999999,60
energy_first_wsn_invTrue,energy_first,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/energy_first_wsn_invTrue/energy_first_wsn_invTrue_attempt1_fedprox_20260303_041857.csv,0.7706,0.68408252468592,8056.920232524841,4443.168232524841,0.5837498983349587,0.49999999999999,60
hybrid_jitter_invFalse,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_jitter_invFalse/hybrid_jitter_invFalse_attempt1_fedprox_20260303_043101.csv,0.7965,0.6258007627499255,9207.112540275939,2407.112540275938,0.7214466583863121,0.49999999999999,60
hybrid_jitter_invTrue,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_jitter_invTrue/hybrid_jitter_invTrue_attempt1_fedprox_20260303_044559.csv,0.6848,1.1043794298473792,8936.691385118935,2035.8313851189357,0.712768661768475,0.49999999999999,60
sync_jitter_invTrue,sync,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/sync_jitter_invTrue/sync_jitter_invTrue_attempt1_fedprox_20260303_050126.csv,0.7804,0.6745126319082477,9207.112540275939,2407.112540275938,0.7214466583863121,0.49999999999999,60
async_jitter_invTrue,async,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/async_jitter_invTrue/async_jitter_invTrue_attempt1_fedprox_20260303_051634.csv,0.7626,0.7798871473421024,9207.112540275939,2407.112540275938,0.7214466583863121,0.49999999999999,60
bridge_free_jitter_invTrue,bridge_free,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bridge_free_jitter_invTrue/bridge_free_jitter_invTrue_attempt1_fedprox_20260303_053143.csv,0.7927,0.6365019863919367,9207.112540275939,2407.112540275938,0.7214466583863121,0.49999999999999,60
bandwidth_first_jitter_invTrue,bandwidth_first,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bandwidth_first_jitter_invTrue/bandwidth_first_jitter_invTrue_attempt1_fedprox_20260303_054653.csv,0.7475,0.8151264681091791,6189.959363164265,535.9153631642647,0.6071342123810374,0.49999999999999,60
energy_first_jitter_invTrue,energy_first,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/energy_first_jitter_invTrue/energy_first_jitter_invTrue_attempt1_fedprox_20260303_060053.csv,0.7435,0.8183400132988072,4607.749875459516,772.2058754595165,0.5792811778592536,0.49999999999999,60
hybrid_wsn_invFalse,hybrid_opt,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_wsn_invFalse/hybrid_wsn_invFalse_attempt1_fedprox_20260303_061333.csv,0.8106,0.5721932328954528,9861.415667871248,2915.1116678712483,0.7598381788073214,0.49999999999999,60
