tag,strategy,wireless_model,simulated_mode,alpha,algorithm,seed,fedprox_mu,csv_path
hybrid_wsn_invTrue,hybrid_opt,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_wsn_invTrue/hybrid_wsn_invTrue_attempt1_fedprox_20260303_034933.csv
bandwidth_first_wsn_invTrue,bandwidth_first,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bandwidth_first_wsn_invTrue/bandwidth_first_wsn_invTrue_attempt1_fedprox_20260303_040428.csv
energy_first_wsn_invTrue,energy_first,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/energy_first_wsn_invTrue/energy_first_wsn_invTrue_attempt1_fedprox_20260303_041857.csv
hybrid_jitter_invFalse,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_jitter_invFalse/hybrid_jitter_invFalse_attempt1_fedprox_20260303_043101.csv
hybrid_jitter_invTrue,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_jitter_invTrue/hybrid_jitter_invTrue_attempt1_fedprox_20260303_044559.csv
sync_jitter_invTrue,sync,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/sync_jitter_invTrue/sync_jitter_invTrue_attempt1_fedprox_20260303_050126.csv
async_jitter_invTrue,async,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/async_jitter_invTrue/async_jitter_invTrue_attempt1_fedprox_20260303_051634.csv
bridge_free_jitter_invTrue,bridge_free,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bridge_free_jitter_invTrue/bridge_free_jitter_invTrue_attempt1_fedprox_20260303_053143.csv
bandwidth_first_jitter_invTrue,bandwidth_first,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/bandwidth_first_jitter_invTrue/bandwidth_first_jitter_invTrue_attempt1_fedprox_20260303_054653.csv
energy_first_jitter_invTrue,energy_first,simulated,jitter,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/energy_first_jitter_invTrue/energy_first_jitter_invTrue_attempt1_fedprox_20260303_060053.csv
hybrid_wsn_invFalse,hybrid_opt,wsn,,0.5,fedprox,42,0.1,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260303_034927/B_matrix_tuned_A2/hybrid_wsn_invFalse/hybrid_wsn_invFalse_attempt1_fedprox_20260303_061333.csv
