tag,strategy,wireless_model,simulated_mode,alpha,algorithm,seed,fedprox_mu,csv_path
hybrid_wsn_invTrue,hybrid_opt,wsn,,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_wsn_invTrue/hybrid_wsn_invTrue_attempt1_fedprox_20260306_014541.csv
bandwidth_first_wsn_invTrue,bandwidth_first,wsn,,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/bandwidth_first_wsn_invTrue/bandwidth_first_wsn_invTrue_attempt1_fedavg_20260306_015525.csv
energy_first_wsn_invTrue,energy_first,wsn,,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/energy_first_wsn_invTrue/energy_first_wsn_invTrue_attempt1_fedavg_20260306_020514.csv
hybrid_jitter_invFalse,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_jitter_invFalse/hybrid_jitter_invFalse_attempt1_fedprox_20260306_021438.csv
hybrid_jitter_invTrue,hybrid_opt,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_jitter_invTrue/hybrid_jitter_invTrue_attempt1_fedprox_20260306_022425.csv
sync_jitter_invTrue,sync,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/sync_jitter_invTrue/sync_jitter_invTrue_attempt1_fedprox_20260306_023344.csv
async_jitter_invTrue,async,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/async_jitter_invTrue/async_jitter_invTrue_attempt1_fedprox_20260306_024439.csv
bridge_free_jitter_invTrue,bridge_free,simulated,jitter,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/bridge_free_jitter_invTrue/bridge_free_jitter_invTrue_attempt1_fedprox_20260306_025424.csv
bandwidth_first_jitter_invTrue,bandwidth_first,simulated,jitter,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/bandwidth_first_jitter_invTrue/bandwidth_first_jitter_invTrue_attempt1_fedavg_20260306_030412.csv
energy_first_jitter_invTrue,energy_first,simulated,jitter,0.5,fedavg,42,0.0,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/energy_first_jitter_invTrue/energy_first_jitter_invTrue_attempt1_fedavg_20260306_031357.csv
hybrid_wsn_invFalse,hybrid_opt,wsn,,0.5,fedprox,42,0.01,/root/autodl-tmp/moga-fl/outputs/fl_comp/20260306_014534/B_matrix_20260306_regression/hybrid_wsn_invFalse/hybrid_wsn_invFalse_attempt1_fedprox_20260306_032307.csv
