round,mode,accuracy,loss,avg_per,jain,energy,est_upload_time,bw_factor,topk,exhausted_clients
1,semi_sync,0.2139,2.2358803033828734,0.07878139069672774,0.49999999999999,143.41878737439902,5.874787374399044,1.0,5,
2,semi_sync,0.2568,2.320913624763489,0.11834958166760652,0.99999999999999,65.98468284554097,3.5286828455409758,0.8,5,
3,semi_sync,0.2393,2.1903512597084047,0.057354699123154315,0.8999999999999965,108.5352477204141,7.483247720414108,0.8539916045494891,5,
4,semi_sync,0.3351,2.018520575761795,0.04357202261539718,0.8695652173913024,122.3058262031196,7.365826203119596,0.85220963782085,5,
5,semi_sync,0.3476,1.7800507307052613,0.08918973741238083,0.909090909090907,94.27979463749857,8.683794637498577,0.8465178264984901,5,
6,semi_sync,0.4058,1.693295383453369,0.11370224916358773,0.8695652173913024,133.5058478119049,3.7298478119049063,0.8401116432683085,5,
7,semi_sync,0.3453,2.082510071992874,0.11138000060609295,0.909090909090907,76.70202351844296,7.366023518442967,0.8282372181108157,5,
8,semi_sync,0.3699,1.6697927951812743,0.0643590985760601,0.9523809523809501,108.75234400374565,7.700344003745641,0.8401592517609149,5,
9,semi_sync,0.4269,1.556906634569168,0.06328080425700622,0.8695652173913024,112.63662966753735,4.576629667537336,0.8452352399747306,5,
10,semi_sync,0.3764,1.7122176110744476,0.0841409537937402,0.909090909090907,93.85858772355601,8.26258772355602,0.8383603220101252,5,
11,semi_sync,0.3864,2.0124462068080904,0.1027501486119903,0.8695652173913024,134.71163854999054,4.935638549990551,0.826011491079689,5,
12,semi_sync,0.4559,1.803635799884796,0.12230798171222297,0.9523809523809501,72.6595529509632,3.323552950963205,0.8329917129699774,5,
13,semi_sync,0.4335,1.606730830669403,0.044195671105202075,0.909090909090907,91.1985527783793,6.4705527783792895,0.8463880280327583,5,
14,semi_sync,0.5372,1.4194242119789124,0.07510787509424385,0.909090909090907,114.7970020820528,6.017002082052813,0.8543450528005931,5,
15,semi_sync,0.4629,1.5121317744255065,0.08356362123094915,0.909090909090907,128.07019522203203,5.750195222032028,0.8465734843660193,5,
16,semi_sync,0.5506,1.2566994190216065,0.10416880366768574,0.8695652173913024,135.50836308105264,5.732363081052636,0.8412100089609851,5,
17,semi_sync,0.509,1.4924872875213624,0.06620629122568264,0.9523809523809501,72.83636874645435,3.50036874645435,0.8267361133708601,5,
18,semi_sync,0.5053,1.3954645991325378,0.021533940000396698,0.909090909090907,88.95626437461885,4.228264374618851,0.8335114088634865,5,
19,semi_sync,0.4906,1.5768069863319396,0.07442672923161678,0.909090909090907,114.47133909613123,5.6913390961312205,0.8430461479452278,5,
20,semi_sync,0.6154,1.0667348861694337,0.09317089361340185,0.909090909090907,132.12735444255912,9.807354442559125,0.8480638663416071,5,
21,semi_sync,0.5237,1.4098630130290986,0.11432357228830026,0.8695652173913024,135.86322894322348,6.087228943223462,0.8454554212552152,5,
22,semi_sync,0.5323,1.3644669234752655,0.10694148168375821,0.9523809523809501,74.18585948368023,4.849859483680238,0.8265100165352556,5,
23,semi_sync,0.5507,1.2525561571121215,0.028040731439144418,0.909090909090907,88.8174426462333,4.089442646233305,0.8319457790317848,5,
24,semi_sync,0.5434,1.3025044977664948,0.07947622075428545,0.909090909090907,99.30894954292916,5.368949542929159,0.8413868532096326,5,
25,semi_sync,0.615,1.2385434746742248,0.1005765416594567,0.909090909090907,133.41539450428968,11.095394504289695,0.8534645894576591,5,
26,semi_sync,0.5829,1.2905646681785583,0.08091708026893325,0.8695652173913024,133.30796166010626,3.5319616601062442,0.8516934092772898,5,
27,semi_sync,0.5093,1.6100434720516206,0.13056286621090135,0.9523809523809501,79.42096717108262,10.084967171082623,0.8295362577746103,5,
28,semi_sync,0.6301,1.0508141666650772,0.02551264237699984,0.909090909090907,88.00487664309804,3.276876643098041,0.8330577687329459,5,
29,semi_sync,0.6577,1.031981760263443,0.07679514639947606,0.909090909090907,118.12639010398235,9.34639010398234,0.8372941887284914,5,
30,semi_sync,0.5783,1.2788631081581117,0.0911075837026748,0.909090909090907,131.67381028252478,9.35381028252481,0.8428975320145424,5,
31,semi_sync,0.6372,1.1299535274505614,0.14201997554387352,0.8695652173913024,134.2176890611524,4.441689061152425,0.8415683258100186,5,
32,semi_sync,0.5962,1.299651139974594,0.0783577459368481,0.9523809523809501,73.58361104330108,4.247611043301078,0.824157765868069,5,
33,semi_sync,0.6645,0.9331933915615082,0.06200132831672818,0.909090909090907,112.32244391573538,4.9904439157353755,0.8295301075097234,5,
34,semi_sync,0.6296,1.0413003116846085,0.08762600924923143,0.9523809523809501,116.89619669405346,8.116196694053453,0.8316922465797839,5,
35,semi_sync,0.6415,1.0431971192359923,0.06095788126329443,0.909090909090907,127.80465393823754,5.484653938237538,0.8371973382304598,5,
